type;regex;example_1;example_2
merger;\smerger[\s-][0-9]+$;evergo international (hong kong) merger 981810;
merger;\s(merger|merged)$;apple bancorp?merger;
merger;\smerger\s\(?see\s[0-9]+\)?$;medical care?merger?(see 326644);
merger;\s\(?merger\s[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}[\s-][0-9]+\)?$;bayerische brauerei schuck merger 1/1/93 929070;gines navarro consolidated (merger 10/11/97-539621)
merger;\smerger[\s-]?see\s\(?[0-9]+\)?$;johnson products merger see (510266);
merger;\smerger\swith\sj9104;nihonkai steamship?merger?with j9104;
merger;\s(merger|merged)\swith.+;ennisteel 'a'?merger?with acier leroux;
merger;\s\(?pre-demerger\)?$;hong kong-tvb (pre-demerger);
merger;\smerged\s(into|with|see)\s[0-9]+$;vystar group merged into 329166;
merger;\smerged\s\(?see\s[0-9]+[a-z]?\)?$;gott corporation merged (see 905925);
merger;\ssee\s\(?merged\s[0-9]+[a-z]?\)?$;gartmore united states bear acc see merged 29058f;
nasdaq;\s\(?non-?\s?nasdaq\sotc\)?;commonwealth property (non-nasdaq?otc);
nasdaq;\s\(?nasdaq\snon-national\)?;pan american silver (nasdaq?non-national);
otc;\s\(?otc\sbulletin\sboard\)?$;royal standard minerals (otc?bulletin board);
suspended;\s\(?suspended\s[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}\)?$;gorden pacific (suspended?14/01/92);
suspended;\s\(?suspended\s[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}-[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}\)?$;nissan motor iberica a?suspended?18/11/93-07/12/93;
suspended;\s\(?suspended\s[0-9]{1,2}\.[0-9]{1,2}\.[0-9]{2,4}\)?$;australian asiatic?suspended?20.08.90;
suspended;\s\(?suspended\ssince\s[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}\)?$;awp holdings (suspended since 10/10/90);
suspended;\s\(?suspended[\s-]?[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}\)?$;commercial leasing b (suspended?- 24/03/93);
suspended;\ssuspended[\s-]?[0-9]{1,2}\s?[0-9]{1,2}\s?$;mowat group?suspended?08/09/;
suspended;\ssuspended$;general investment of australian?suspended;
suspended;\s\(?suspended[\s-]?'?[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}\stemp'?\)?$;novem?suspended- '02/03/92 temp';
liquidation;\s\(?liquidation|liquidated\s[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}\)?$;americus trust general electric score liquidated 17/06/92;
xetra;\s\(xetra\);bayer schering pharma (xetra);
expired;\s\(?expired\s[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}\)?$;tyco toys warrants 6/93 expired 04/06/93;
expired;\sexpired$;houston oil realty trust ubi?expired;
expired;\expired\october\s94$;inflight phone cda rights 21/10/94?expired?october 94;
other;\s'?[a-z]'?$;zigold resources 'a';
