le_abbr;le_stand;le_full;le_country;source
SCRI CP;SCRI CP;Coopérative à responsabilité illimitée, coopérative de participation, de droit public;BE;ECB
SCRI FS;SCRI FS;Société coopérative à responsabilité illimitée à finalité sociale;BE;ECB
SCRL;SCRL;Société coopérative à responsabilité limitée;BE;ECB
SCRL DPU;SCRL DPU;Société coopérative à responsabilité limitée de droit public;BE;ECB
SCRL FS;SCRL FS;Société coopérative à responsabilité limitée à finalité sociale;BE;ECB
SCS;SCS;Societate în comandită simplă;RO;ECB
SCS;SCS;Société en commandite simple;BE;ECB
SCS FS;SCS FS;Société en commandite simple à finalité sociale;BE;ECB
SD;SD;Sodininkų bendrija;LT;ECB
SD;SD;Събирателно дружество;BG;ECB
SDC;SDC;Société de droit commun;BE;ECB
sdd;SDD;Športsko dioničko društvo;HR;ECB
SDF;SDF;SOCIETA' DI FATTO;IT;ECB
SDIS;SDIS;Service départemental d'incendie et de secours;FR;ECB
SDN BHD;SDN BHD;Sendirian Berhad;MY;Own
SE;SE;Societas Europea;-;ECB
SECA;SECA;Société en commandite par actions;LU;ECB
SECS;SECS;Société en commandite simple;LU;ECB
SECSP;SECSP;Société en commandite speciale;LU;ECB
SEPCAV;SEPCAV;Société d’épargne-pension à capital variable;LU;ECB
SERVFEDE;SERVFEDE;Autre service fédéral;BE;ECB
SF;SF;Σωματεία και Ιδρυμάτα;CY;ECB
SF;SF;Société en formation;BE;ECB
SGPS;SGPS;Sociedade Gestora de Participações Sociais ;PT;OWN
SGPS SA;SGPS SA;Sociedade Gestora de Participações Sociais ;PT;OWN
SGR;SGR;Sociedad de garantía recíproca;ES;ECB
SI;SI;Savivaldybės įmonė;LT;ECB
SIA;SIA;Sabiedrība ar ierobežotu atbildību;LV;ECB
SICAF;SICAF;Société d'investissement à capital fixe;LU;ECB
SICAR;SICAR;Société d'investissement à capital risque;LU;ECB
SICAV;SICAV;Société d’Investissement à Capital Variable;MT;ECB
SICAV;SICAV;Société d'investissement à capital variable;LU;ECB
S-ie;S-IE;Съдружие;BG;ECB
SIVOM;SIVOM;Syndicat intercommunal à vocation multiple;FR;ECB
SIVU;SIVU;Syndicat intercommunal à vocation unique;FR;ECB
sj;SJ;spółki jawne;PL;ECB
SKA;SKA;spółki komandytowo - akcyjne;PL;ECB
SL;SL;Sociedad de responsabilidad limitada;ES;ECB
SL LABORAL;SL LABORAL;Sociedad Limitada Laboral;ES;ECB
SLL;SLL;Sociedad Limitada Laboral;ES;ECB
SLNE;SLNE;Sociedad Limitada Nueva Empresa;ES;ECB
SLP;SLP;Αφανής Εταιρεία;GR;ECB
SLU;SLU;Sociedad Limitada Unipersonal;ES;ECB
smba;SMBA;Selskab med begrænset ansvar;DK;ECB
SMC;SMC;Single Member Company;IE;ECB
SNC;SNC;Société en nom collectif;LU;ECB
SNC;SNC;Sociedades em Nome Coletivo;PT;ECB
SNC;SNC;Societate în nume colectiv;RO;ECB
SNC;SNC;Société en nom collectif;BE;ECB
SNC;SNC;SOCIETA' IN NOME COLLETTIVO;IT;ECB
SNC FS;SNC FS;Société en nom collectif à finalité sociale;BE;ECB
SOCI;SOCI;Sociedade Civil;PT;ECB
SON;SON;Stichting van openbaar nut;BE;ECB
SöR;SÖR;Stiftung des öffentlichen Rechts;DE;ECB
SOU;SOU;Sabiedriskās organizācijas uzņēmums;LV;ECB
sp;SP;Státní podnik;CZ;ECB
SP;SP;Αυτοτελώς εργαζόμενος;CY;ECB
SP;SP;Sociedad profesional;ES;ECB
sp;SP;Säästöpankki;FI;ECB
SP;SP;Secteur public;LU;ECB
šp;ŠP;Štátny podnik;SK;ECB
sp z oo;SP ZOO;spółki z ograniczoną odpowiedzialnością;PL;ECB
SPA;SPA;SOCIETA' PER AZIONI;IT;ECB
Spb;SPB;Sparbanker;SE;ECB
SPF;SPF;Service public fédéral;BE;ECB
SPFPL SARL;SPFPL SARL;Société de Participations Financières de Profession Libérale Société à responsabilité limitée;FR;ECB
SPFPL SAS;SPFPL SAS;Société de Participations Financières de Profession Libérale Société par actions simplifiée;FR;ECB
SPFPL SCA;SPFPL SCA;Société de Participations Financières de Profession Libérale Société en commandite par actions;FR;ECB
spk;SPK;spółki komandytowe;PL;ECB
SPöR;SPÖR;Sonstige juristische Person des öffentlichen Rechts;DE;ECB
spp;SPP;spółki partnerskie;PL;ECB
SPP;SPP;Service public fédéral de programmation;BE;ECB
SpR;SPR;Stiftung des privaten Rechts;DE;ECB
SPRL;SPRL;Société privée à responsabilité limitée;BE;ECB
SPRL FS;SPRL FS;Société privée à responsabilité limitée à finalité sociale;BE;ECB
SR;SR;Sonstiger Rechtsträger;AT;ECB
sr;SR;Säätiö;FI;ECB
SRC;SRC;Sociedad colectiva;ES;ECB
SRL;SRL;Sociedad de responsabilidad limitada;ES;ECB
SRL;SRL;Societate cu răspundere limitată;RO;ECB
SRL;SRL;SOCIETA' A RESPONSABILITA' LIMITATA;IT;ECB
SRLU;SRLU;Sociedad Limitada Unipersonal;ES;ECB
sro;SRO;Společnost s ručením omezeným;CZ;ECB
sro;SRO;Spoločnosť s ručením obmedzeným;SK;ECB
SS;SS;Šaulių sąjunga;LT;ECB
SS;SS;SOCIETA' SEMPLICE;IT;ECB
Stiftung GmbH & Co KG;STIFTUNG GMBH & CO KG;Stifungsgesellschaft mit beschränkter Haftung & Compagnie Kommanditgesellschaft;DE;ECB
Stiftung GmbH & Co KGaA;STIFTUNG GMBH & CO KGAA;Stifungsgesellschaft mit beschränkter Haftung & Compagnie Kommanditgesellschaft an Aktien;DE;ECB
Stiftung GmbH & Co OHG;STIFTUNG GMBH & CO OHG;Stifungsgesellschaft mit beschränkter Haftung & Compagnie offene Handelsgesellschaft;DE;ECB
SUni;SUNI;Sociedade Unipessoal Por Quotas;PT;ECB
SV;SV;Société d’Investissement à Capital Variable;MT;ECB
svj;SVJ;Společenství vlastníků jednotek;CZ;ECB
TR;TR;Tradicinė religinė bendruomenė ar bendrija;LT;ECB
TÜ;TÜ;Täisühing;EE;ECB
TUB;TUB;Tikroji ūkinė bendrija;LT;ECB
TuÜ;TUÜ;Tulundusühistu;EE;ECB
TUW;TUW;towarzystwa ubezpieczeń wzajemnych;PL;ECB
UAB;UAB;Uždaroji akcinė bendrovė;LT;ECB
UC;UC;Unlimited company ;IE;ECB
UCITS;UCITS;Undertakings for Collective Investment in Transferable Securities;IE;ECB
UG;UG;Unternehmergesellschaft;;
UG & Co KG;UG & CO KG;Unternehmergesellschaft  & Compagnie Kommanditgesellschaft;DE;ECB
UG & Co KGaA;UG & CO KGAA;Unternehmergesellschaft  & Compagnie Kommanditgesellschaft an Aktien;DE;ECB
UG & Co OHG;UG & CO OHG;Unternehmergesellschaft  & Compagnie offene Handelsgesellschaft;DE;ECB
UG haftungsbeschränkt;UG (HAFTUNGSBESCHRÄNKT);Unternehmergesellschaft haftungsbeschränkt;DE;ECB
UP;UP;Union professionnelle;BE;ECB
UTVA;UTVA;Unité TVA;BE;ECB
UÜ;UÜ;Usaldusühing;EE;ECB
UZN;UZN;Uzņēmējsabiedrības uzņēmums;LV;ECB
VER;VER;Vereine;AT;ECB
VerOCMW;VEROCMW;Vereniging van OCMW's;BE;ECB
VI;VI;Valstybės įmonė;LT;ECB
VLGEWGEM;VLGEWGEM;Overheid van het Vlaamse Gewest en van de Vlaamse Gemeenschap;BE;ECB
VME;VME;Vereniging van mede-eigenaars;BE;ECB
VO;VO;Voluntary;MT;ECB
VOF;VOF;Vennootschap onder firma;BE;ECB
VOF SO;VOF SO;Vennootschap onder firma met een sociaal oogmerk;BE;ECB
VoG;VOG;Vereinigung ohne Gewinnerzielungsabsicht;BE;ECB
VORM SO;VORM SO;Andere vorm met een sociaal oogmerk van publiek recht;BE;ECB
vos;VOS;Veřejná obchodní společnost;CZ;ECB
vos;VOS;Verejná obchodná spoločnosť;SK;ECB
VÖSHZ;VÖSHZ;Vereinigung von öffentlichen Sozialhilfezentren;BE;ECB
VS;VS;Viešoji įstaiga;LT;ECB
VU;VU;Valsts uzņēmums;LV;ECB
VÚC;VÚC;Samosprávny kraj;SK;ECB
VV;VV;Vennootschap in oprichting;BE;ECB
VVaG;VVAG;Versicherungsverein auf Gegenseitigkeit;DE;ECB
VVE;VVE;Vereniging van eigenaars;NL;ECB
VVZRL;VVZRL;Vennootschap of vereniging zonder rechtspersoonlijkheid;BE;ECB
VZW;VZW;Vereniging zonder winstoogmerk;BE;ECB
VZW PR;VZW PR;Vereniging zonder winstoogmerk van publiek recht;BE;ECB
WG;WG;Overheid van het Waalse Gewest;BE;ECB
WIV;WIV;Wirtschaftliche Interessenvereinigung;BE;ECB
WIVmsZ;WIVMSZ;Wirtschaftliche Interessenvereinigung mit sozialer Zielsetzung;BE;ECB
WLL;CO WLL;With Limited Liability;JP;OWN
WR;WR;Behörde der Wallonischen Region;BE;ECB
WuR;WUR;Weltanschauungs- und Religionsgemeinschaft;DE;ECB
wV;WV;Wirtschaftlicher Verein;DE;ECB
YK;YK;Yugen Kaisha;JP;OWN
ZAO;ZAO; Закрытое акционерное общество;RU;OWN
zbo;ZBO;Zadruga;SI;ECB
ZEM;ZEM;Zemnieku saimniecība;LV;ECB
ZIEK F;ZIEK F;Ziekenfonds;BE;ECB
zoo;ZOO;Zadruga;SI;ECB
ZRG AG;ZRG AG;Zivilrechtliche Gesellschaft in der Rechtsform einer Aktiengesellschaft;BE;ECB
ZRG EKG;ZRG EKG;Zivilrechtliche Gesellschaft in der Rechtsform einer einfachen Kommanditgesellschaft;BE;ECB
ZRG KGaA;ZRG KGAA;Zivilrechtliche Gesellschaft in der Rechtsform einer Kommanditgesellschaft auf Aktien;BE;ECB
ZRG LG;ZRG LG;Zivilrechtliche Gesellschaft in der Rechtsform einer landwirtschaftlichen Gesellschaft;BE;ECB
ZRG OHG;ZRG OHG;Zivilrechtliche Gesellschaft in der Rechtsform einer offenen Handelsgesellschaft;BE;ECB
ZUB;ZUB;Žemės ūkio bendrovė;LT;ECB
ZvGGbH;ZVGGBH;Zivilrechtliche Gesellschaft in der Rechtsform einer Genossenschaft mit beschränkter Haftung;BE;ECB
ZvGGugcH;ZVGGUGCH;Zivilrechtliche Gesellschaft in der Rechtsform einer Genossenschaft mit unbeschränkter Haftung;BE;ECB
ZvGPgbH;ZVGPGBH;Zivilrechtliche Gesellschaft in der Rechtsform einer Privatgesellschaft mit beschränkter Haftung;BE;ECB
ZVJ;ZVJ;Zvejnieku saimniecība;LV;ECB
ZweckV;ZWECKV;Zweckverband;DE;ECB
PJSC;PJSC;Public Joint Stock Company ;RU;OWN
