le_abbr;le_stand;le_full;le_country;source
CUMA;CUMA;Coopérative d'utilisation de matériel agricole en commun;FR;ECB
CVA SO;CVA SO;Commanditaire vennootschap op aandelen met een sociaal oogmerk;BE;ECB
CVBA;CVBA;Coöperatieve vennootschap met beperkte aansprakelijkheid;BE;ECB
CVBA PR;CVBA PR;Coöperatieve vennootschap met beperkte aansprakelijkheid van publiek recht;BE;ECB
CVBA SO;CVBA SO;Coöperatieve vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk;BE;ECB
CVOA;CVOA;Coöperatieve vennootschap met onbeperkte aansprakelijkheid;BE;ECB
CVOA CD;CVOA CD;Coöperatieve vennootschap met onbeperkte aansprakelijkheid, bij wijze van deelneming van publiek recht;BE;ECB
CVOA SO;CVOA SO;Coöperatieve vennootschap met onbeperkte aansprakelijkheid met een sociaal oogmerk;BE;ECB
DAC;DAC;Designated Activity Company;IE;ECB
DAC;DAC;Designated Activity Company Limited by Guarantee;IE;ECB
dd;DD;Dioničko društvo;HR;ECB
dd;DD;Delniška družba;SI;ECB
DG;DG;Behörde der Deutschsprachigen Gemeinschaft;BE;ECB
DIENSTV;DIENSTV;Dienstverlenende vereniging;BE;ECB
DlvFL;DLVFL;Dienstleistungsvereinigung;BE;ECB
dno;DNO;Družba z neomejeno odgovornostjo;SI;ECB
doo;DOO;Društvo s ograničenom odgovornošću;HR;ECB
doo;DOO;Družba z omejeno odgovornostjo;SI;ECB
DUITGEME;DUITGEME;Overheid van de Duitstalige Gemeenschap;BE;ECB
dvz;DVZ;Družba za vzajemno zavarovanje;SI;ECB
DZZD;DZZD;Дружество учредено по Закона за задълженията и договорите;BG;ECB
EAD;EAD;Еднолично акционерно дружество;BG;ECB
EE;EE;Ετερόρρυθμη Εταιρεία;GR;ECB
EEIG;EEIG;European Economic Interest Grouping;-;ECB
EG;EG;Eigentümergemeinschaft;AT;ECB
eG;EG;Eingetragene Genossenschaft;DE;ECB
EGTC;EGTC;European Grouping of Territorial cooperation;-;ECB
EI;EI;Entreprise individuelle;LU;ECB
EIRL;EIRL;Estabelecimento Individual de Responsabilidade Limitada;PT;ECB
Ek för;EK FÖR;Ekonomisk förening;SE;ECB
EKG;EKG;Einfache Kommanditgesellschaft;BE;ECB
EKGmsZ;EKGMSZ;Einfache Kommanditgesellschaft mit sozialer Zielsetzung;BE;ECB
EoG;EOG;Einrichtung ohne Gewinnerzielungsabsicht;BE;ECB
EOOD;EOOD;Еднолично дружество с ограничена отговорност;BG;ECB
EP;EP;Etablissement public;LU;ECB
EPE;EPE;Εταιρεία Περιορισμένης Ευθύνης;GR;ECB
EPE;EPE;Entidade Pública Empresarial;PT;ECB
EPMR;EPMR;Entidade Pública Municipal, Intermunicipal e Regional;PT;ECB
ESV;ESV;Economisch samenwerkingsverband;BE;ECB
ESV SO;ESV SO;Economisch samenwerkingsverband met een sociaal oogmerk;BE;ECB
ET;ET;Едноличен търговец;BG;ECB
ETSPUBLI;ETSPUBLI;Etablissement public;BE;ECB
EUPP;EUPP;Europäische politische Partei;BE;ECB
EUPS;EUPS;Europäische politische Stiftung;BE;ECB
eV;EV;Eingetragener Verein;DE;ECB
Ewg-Bwg;EWG-BWG;Entwässerungsgenossenschaft - Bewässerungsgenossenschaft;BE;ECB
EZHS;EZHS;Evropské zájmové hospodářské sdružení;CZ;ECB
FCP;FCP;Fonds commun de placement;LU;ECB
FDP PJ;FDP PJ;Autre forme de droit privé avec personnalité juridique;BE;ECB
FEDEDIEN;FEDEDIEN;Andere federale dienst;BE;ECB
FIAR;FIAR;Fonds d'investissement alternatif reservé;LU;ECB
FlRG;FLRG;Behörde der Flämischen Region und der Flämischen Gemeinschaft;BE;ECB
fmba;FMBA;Forening med begrænset ansvar;DK;ECB
FOD;FOD;Federale overheidsdienst;BE;ECB
FÖD;FÖD;Föderaler öffentlicher Dienst;BE;ECB
FödD;FÖDD;Anderer föderale Dienst;BE;ECB
FON;FON;Fondation;LU;ECB
FONDPRIV;FONDPRIV;Fondation privée;BE;ECB
FÖP;FÖP;Föderaler öffentlicher Programmierungsdienst;BE;ECB
FORME FS;FORME FS;Autre forme à finalité sociale de droit public;BE;ECB
FPEU;FPEU;Europese politieke stichting;BE;ECB
FPEU;FPEU;Fondation politique européenne;BE;ECB
FRAGEMEE;FRAGEMEE;Overheid van de Franse Gemeenschap;BE;ECB
FrG;FRG;Behörde der Französischen Gemeinschaft;BE;ECB
Fund;FUND;Fundação;PT;ECB
FUP;FUP;Fondation d'utilité publique;BE;ECB
GAEC;GAEC;Groupement agricole d'exploitation en commun;FR;ECB
GaR;GAR;Gesellschaft des allgemeinen Rechts;BE;ECB
GbG;GBG;In Gründung befindliche Gesellschaft;BE;ECB
GbHsZ;GBHSZ;Genossenschaft mit beschränkter Haftung mit sozialer Zielsetzung;BE;ECB
GbR;GBR;Gesellschaft bürgerlichen Rechts;DE;ECB
GCW SO;GCW SO;Gewone commanditaire vennootschap met een sociaal oogmerk;BE;ECB
GEIE;GEIE;Groupement européen d'intérêt économique;FR;ECB
GEMEENTE;GEMEENTE;commune;BE;ECB
Gemeinde;GEMEINDE;Stad;BE;ECB
GEN;GEN;Erwerbs- und Wirtschaftsgenossenschaft;AT;ECB
