legal_entity_abbr;legal_entity_stan;legal_entity_full;country;source
EG;EG;Eigentümergemeinschaft | Eingetragene Genossenschaft;AT |DE;
EGTC;EGTC;European Grouping of Territorial cooperation;-;
EI;EI;Entreprise individuelle;LU;
EIRL;EIRL;Estabelecimento Individual de Responsabilidade Limitada;PT;
Ek för;EK FÖR;Ekonomisk förening;SE;
EKG;EKG;Einfache Kommanditgesellschaft;BE;
EKGmsZ;EKGMSZ;Einfache Kommanditgesellschaft mit sozialer Zielsetzung;BE;
EoG;EOG;Einrichtung ohne Gewinnerzielungsabsicht;BE;
EOOD;EOOD;Еднолично дружество с ограничена отговорност;BG;
EP;EP;Etablissement public;LU;
EPE;EPE;Εταιρεία Περιορισμένης Ευθύνης | Entidade Pública Empresarial;GR |PT;
EPMR;EPMR;Entidade Pública Municipal, Intermunicipal e Regional;PT;
ESV;ESV;Economisch samenwerkingsverband;BE;
ESV SO;ESV SO;Economisch samenwerkingsverband met een sociaal oogmerk;BE;
ET;ET;Едноличен търговец;BG;
ETSPUBLI;ETSPUBLI;Etablissement public;BE;
EUPP;EUPP;Europäische politische Partei;BE;
EUPS;EUPS;Europäische politische Stiftung;BE;
eV;EV;Eingetragener Verein;DE;
Ewg-Bwg;EWG-BWG;Entwässerungsgenossenschaft - Bewässerungsgenossenschaft;BE;
EZHS;EZHS;Evropské zájmové hospodářské sdružení;CZ;
FCP;FCP;Fonds commun de placement;LU;
FDP PJ;FDP PJ;Autre forme de droit privé avec personnalité juridique;BE;
FEDEDIEN;FEDEDIEN;Andere federale dienst;BE;
FIAR;FIAR;Fonds d'investissement alternatif reservé;LU;
FlRG;FLRG;Behörde der Flämischen Region und der Flämischen Gemeinschaft;BE;
fmba;FMBA;Forening med begrænset ansvar;DK;
FOD;FOD;Federale overheidsdienst;BE;
FÖD;FÖD;Föderaler öffentlicher Dienst;BE;
FödD;FÖDD;Anderer föderale Dienst;BE;
FON;FON;Fondation;LU;
FONDPRIV;FONDPRIV;Fondation privée;BE;
FÖP;FÖP;Föderaler öffentlicher Programmierungsdienst;BE;
FORME FS;FORME FS;Autre forme à finalité sociale de droit public;BE;
FPEU;FPEU;Europese politieke stichting | Fondation politique européenne;BE;
