word;replace;Column1
careers;career;singular/plural
cares;care;singular/plural
carpenters;carpenter;singular/plural
carpets;carpet;singular/plural
carriers;carrier;singular/plural
carrs;carr;singular/plural
cars;car;singular/plural
carts;cart;singular/plural
cascades;cascade;singular/plural
cases;case;singular/plural
cashiers;cashier;singular/plural
casinos;casino;singular/plural
castings;casting;singular/plural
castles;castle;singular/plural
castors;castor;singular/plural
catamarans;catamaran;singular/plural
cats;cat;singular/plural
ccs;cc;singular/plural
cds;cd;singular/plural
cellars;cellar;singular/plural
cells;cell;singular/plural
cements;cement;singular/plural
centers;center;singular/plural
centres;centre;singular/plural
cents;cent;singular/plural
ceramics;ceramic;singular/plural
cereals;cereal;singular/plural
certificates;certificate;singular/plural
champions;champion;singular/plural
championships;championship;singular/plural
chapters;chapter;singular/plural
characters;character;singular/plural
charms;charm;singular/plural
charts;chart;singular/plural
checkers;checker;singular/plural
chefs;chef;singular/plural
chemicals;chemical;singular/plural
chemists;chemist;singular/plural
chews;chew;singular/plural
chillers;chiller;singular/plural
chinda;cinda;
chips;chip;singular/plural
chocolates;chocolate;singular/plural
choices;choice;singular/plural
cigarettes;cigarette;singular/plural
cigars;cigar;singular/plural
cinemas;cinema;singular/plural
circuits;circuit;singular/plural
cities;city;singular/plural
citizens;citizen;singular/plural
claims;claim;singular/plural
classics;classic;singular/plural
clays;clay;singular/plural
clicks;click;singular/plural
cliffs;cliff;singular/plural
clinics;clinic;singular/plural
clips;clip;singular/plural
closures;closure;singular/plural
clothes;clothe;singular/plural
clothiers;clothier;singular/plural
clubs;club;singular/plural
coals;coal;singular/plural
coatings;coating;singular/plural
coats;coat;singular/plural
cocos;coco;singular/plural
codes;code;singular/plural
coffees;coffee;singular/plural
coins;coin;singular/plural
colas;cola;singular/plural
colleagues;colleague;singular/plural
collectors;collector;singular/plural
colleges;college;singular/plural
colliers;collier;singular/plural
colloids;colloid;singular/plural
colors;color;singular/plural
colours;colour;singular/plural
combustibles;combustible;singular/plural
commercials;commercial;singular/plural
commodities;commodity;singular/plural
communications;communication;singular/plural
communities;community;singular/plural
companies;company;singular/plural
components;component;singular/plural
composites;composite;singular/plural
compounds;compound;singular/plural
compressors;compressor;singular/plural
computers;computer;singular/plural
comunicacion;communicacion;
concepts;concept;singular/plural
concessions;concession;singular/plural
conditioners;conditioner;singular/plural
conductors;conductor;singular/plural
connections;connection;singular/plural
