stopword;stop_type;origin
on;generic;L&M
once;generic;L&M
one;generic;L&M
ones;generic;L&M
only;generic;L&M
onto;generic;L&M
or;generic;L&M
other;generic;L&M
others;generic;L&M
otherwise;generic;L&M
ought;generic;L&M
our;generic;L&M
ours;generic;L&M
ourselves;generic;L&M
out;generic;L&M
outside;generic;L&M
over;generic;L&M
overall;generic;L&M
own;generic;L&M
p;generic;L&M
particular;generic;L&M
particularly;generic;L&M
per;generic;L&M
perhaps;generic;L&M
placed;generic;L&M
please;generic;L&M
plus;generic;L&M
possible;generic;L&M
presumably;generic;L&M
probably;generic;L&M
provides;generic;L&M
q;generic;L&M
que;generic;L&M
quite;generic;L&M
qv;generic;L&M
r;generic;L&M
rather;generic;L&M
rd;generic;L&M
re;generic;L&M
really;generic;L&M
reasonably;generic;L&M
regarding;generic;L&M
regardless;generic;L&M
regards;generic;L&M
relatively;generic;L&M
respectively;generic;L&M
right;generic;L&M
s;generic;L&M
said;generic;L&M
same;generic;L&M
saw;generic;L&M
say;generic;L&M
saying;generic;L&M
says;generic;L&M
second;generic;L&M
secondly;generic;L&M
see;generic;L&M
seeing;generic;L&M
seem;generic;L&M
seemed;generic;L&M
seeming;generic;L&M
seems;generic;L&M
seen;generic;L&M
self;generic;L&M
selves;generic;L&M
sensible;generic;L&M
sent;generic;L&M
serious;generic;L&M
seriously;generic;L&M
seven;generic;L&M
several;generic;L&M
shall;generic;L&M
she;generic;L&M
should;generic;L&M
shouldn't;generic;L&M
since;generic;L&M
six;generic;L&M
so;generic;L&M
some;generic;L&M
somebody;generic;L&M
somehow;generic;L&M
someone;generic;L&M
something;generic;L&M
sometime;generic;L&M
sometimes;generic;L&M
somewhat;generic;L&M
somewhere;generic;L&M
soon;generic;L&M
sorry;generic;L&M
specified;generic;L&M
specify;generic;L&M
specifying;generic;L&M
still;generic;L&M
sub;generic;L&M
such;generic;L&M
sup;generic;L&M
sure;generic;L&M
t;generic;L&M
take;generic;L&M
taken;generic;L&M
tell;generic;L&M
tends;generic;L&M
th;generic;L&M
than;generic;L&M
thank;generic;L&M
thanks;generic;L&M
thanx;generic;L&M
that;generic;L&M
thats;generic;L&M
that's;generic;L&M
the;generic;L&M
their;generic;L&M
theirs;generic;L&M
them;generic;L&M
themselves;generic;L&M
then;generic;L&M
thence;generic;L&M
there;generic;L&M
thereafter;generic;L&M
thereby;generic;L&M
therefore;generic;L&M
therein;generic;L&M
theres;generic;L&M
there's;generic;L&M
thereupon;generic;L&M
these;generic;L&M
they;generic;L&M
they'd;generic;L&M
they'll;generic;L&M
they're;generic;L&M
they've;generic;L&M
think;generic;L&M
third;generic;L&M
this;generic;L&M
thorough;generic;L&M
thoroughly;generic;L&M
those;generic;L&M
though;generic;L&M
three;generic;L&M
through;generic;L&M
throughout;generic;L&M
thru;generic;L&M
thus;generic;L&M
to;generic;L&M
together;generic;L&M
too;generic;L&M
took;generic;L&M
toward;generic;L&M
towards;generic;L&M
tried;generic;L&M
tries;generic;L&M
truly;generic;L&M
try;generic;L&M
trying;generic;L&M
t's;generic;L&M
twice;generic;L&M
two;generic;L&M
u;generic;L&M
un;generic;L&M
under;generic;L&M
unfortunately;generic;L&M
unless;generic;L&M
unlikely;generic;L&M
until;generic;L&M
unto;generic;L&M
up;generic;L&M
upon;generic;L&M
us;generic;L&M
use;generic;L&M
used;generic;L&M
useful;generic;L&M
uses;generic;L&M
using;generic;L&M
usually;generic;L&M
uucp;generic;L&M
v;generic;L&M
value;generic;L&M
various;generic;L&M
very;generic;L&M
via;generic;L&M
viz;generic;L&M
vs;generic;L&M
w;generic;L&M
want;generic;L&M
wants;generic;L&M
was;generic;L&M
wasn't;generic;L&M
way;generic;L&M
we;generic;L&M
we'd;generic;L&M
welcome;generic;L&M
well;generic;L&M
we'll;generic;L&M
went;generic;L&M
were;generic;L&M
we're;generic;L&M
weren't;generic;L&M
we've;generic;L&M
what;generic;L&M
whatever;generic;L&M
what's;generic;L&M
when;generic;L&M
whence;generic;L&M
whenever;generic;L&M
where;generic;L&M
whereafter;generic;L&M
whereas;generic;L&M
whereby;generic;L&M
wherein;generic;L&M
where's;generic;L&M
whereupon;generic;L&M
wherever;generic;L&M
whether;generic;L&M
which;generic;L&M
while;generic;L&M
whither;generic;L&M
who;generic;L&M
whoever;generic;L&M
whole;generic;L&M
whom;generic;L&M
who's;generic;L&M
whose;generic;L&M
why;generic;L&M
will;generic;L&M
willing;generic;L&M
wish;generic;L&M
with;generic;L&M
within;generic;L&M
without;generic;L&M
wonder;generic;L&M
won't;generic;L&M
would;generic;L&M
wouldn't;generic;L&M
x;generic;L&M
y;generic;L&M
yes;generic;L&M
yet;generic;L&M
you;generic;L&M
you'd;generic;L&M
you'll;generic;L&M
your;generic;L&M
you're;generic;L&M
yours;generic;L&M
yourself;generic;L&M
yourselves;generic;L&M
you've;generic;L&M
z;generic;L&M
zero;generic;L&M
text block;generic;own
