abbr
Dr.
Mr.
Ms.
Mrs.
approx.
sec.
seq.
Jan.
Feb.
Mrz.
Mar.
Apr.
Mai.
Jun.
Jul.
Aug.
Sep.
Okt.
Nov.
Dez.
Dec.
1.
2.
3.
4.
5.
6.
7.
8.
9.
10.
11.
12.
13.
14.
15.
16.
17.
18.
19.
20.
21.
22.
23.
24.
25.
26.
27.
28.
29.
30.
31.
32.
33.
34.
35.
36.
37.
38.
39.
40.
41.
42.
43.
44.
45.
46.
47.
48.
49.
50.
Mio.
Mrd.
Tsd.
No.
I.
II.
III.
IV.
V.
VI.
VII.
VIII.
IX.
X.
XI.
XII.
XIII.
XIV.
XV.
A.
B.
C.
D.
E.
F.
G.
H.
J.
K.
L.
M.
N.
O.
P.
Q.
R.
S.
T.
U.
W.
Y.
Z.
Ing.
