stopword;stop_type;origin
kharkov commodity exchange;stock exchanges;own
khartoum stock exchange;stock exchanges;own
khorezm interregion commodity exchange;stock exchanges;own
kiev international stock exchange;stock exchanges;own
kiev universal exchange;stock exchanges;own
knight equity markets lp;stock exchanges;own
kobe gomu torihikijo;stock exchanges;own
kobe gomu torihikijo (rubber exchange);stock exchanges;own
kobe kiito torihikijo;stock exchanges;own
kobe kiito torihikijo (raw silk exchange);stock exchanges;own
korea exchange;stock exchanges;own
korea exchange (futures market);stock exchanges;own
korea exchange (kosdaq);stock exchanges;own
korea exchange (stock market);stock exchanges;own
korea stock exchange;stock exchanges;own
kuwait stock exchange;stock exchanges;own
kyoto stock exchange;stock exchanges;own
kyrgyz stock exchange;stock exchanges;own
labuan international financial exchange;stock exchanges;own
lahore stock exchange;stock exchanges;own
lao securities exchange;stock exchanges;own
ljubljana stock exchange;stock exchanges;own
ljubljana stock exchange (official market);stock exchanges;own
ljubljana stock exchange (semi-official market);stock exchanges;own
london commodity exchange;stock exchanges;own
london international financial futures and options exchange;stock exchanges;own
london metal exchange;stock exchanges;own
london stock exchange;stock exchanges;own
london stock exchange group;stock exchanges;own
lusaka stock exchange;stock exchanges;own
luxembourg stock exchange;stock exchanges;own
macedonian stock exchange;stock exchanges;own
madras stock exchange;stock exchanges;own
madrid stock exchange;stock exchanges;own
malawi stock exchange;stock exchanges;own
malaysia derivatives exchange bhd;stock exchanges;own
malaysia stock exchange;stock exchanges;own
maldives stock exchange;stock exchanges;own
malta stock exchange;stock exchanges;own
maputo stock exchange;stock exchanges;own
mcx stock exchange ltd;stock exchanges;own
mexican stock exchange;stock exchanges;own
micex stock exchange;stock exchanges;own
mid america commodity exchange;stock exchanges;own
midwest stock exchange;stock exchanges;own
milan stock exchange;stock exchanges;own
minneapolis grain exchange;stock exchanges;own
moldova stock exchange;stock exchanges;own
mongolian stock exchange;stock exchanges;own
montenegro stock exchange;stock exchanges;own
montreal climate exchange;stock exchanges;own
montreal exchange / bourse de montreal;stock exchanges;own
montreal exchange the / bourse de montreal;stock exchanges;own
moscow energy exchange;stock exchanges;own
moscow exchange;stock exchanges;own
moscow interbank currency exchange;stock exchanges;own
moscow stock exchange;stock exchanges;own
mtf - cyprus exchange;stock exchanges;own
nagoya seni torihikijo - chubu commodity exchange;stock exchanges;own
nagoya seni torihikijo (textile exchange) - chubu commodity exchange;stock exchanges;own
nagoya stock exchange;stock exchanges;own
nairobi securities exchange;stock exchanges;own
nairobi stock exchange;stock exchanges;own
namibian stock exchange;stock exchanges;own
nasdaq;stock exchanges;own
nasdaq nordic;stock exchanges;own
nasdaq omx futures exchange;stock exchanges;own
nasdaq stock exchange;stock exchanges;own
national commodity exchange limited;stock exchanges;own
national multi-commodity exchange of india;stock exchanges;own
national stock exchange;stock exchanges;own
