occurance;type;le_name;le_stand;source
End;abbr;bverfl;BVERFL;ECB
End;abbr;cb;CB;ECB
End;full;centrinis bankas;CB;ECB
End;full;centre intercommunal d'action sociale;CIAS;ECB
End;abbr;cias;CIAS;ECB
End;abbr;cjsc;CJSC;OWN
End;abbr;cla;CLA;ECB
End;abbr;clf;CLF;ECB
End;abbr;clg;CLG;ECB
End;full;company limited by guarantee;CLG;ECB
End;full;Company;CO;OWN
End;abbr;Company ab;CO AB;OWN
End;abbr;Company ab publ;CO AB (PUBL);OWN
End;abbr;Company ag;CO AG;OWN
End;abbr;company aps;CO APS;OWN
End;abbr;co as;CO AS;OWN
End;abbr;company as;CO AS;OWN
End;abbr;Company ASA;CO ASA;OWN
End;abbr;company bhd;CO BHD;OWN
End;abbr;company bsc;CO BSC;OWN
End;abbr;Company bv;CO BV;OWN
End;abbr;Company dd;CO DD;OWN
End;abbr;company gmbh;CO GMBH;OWN
End;abbr;gmbh company gmbh;CO GMBH;OWN
End;abbr;co inc;CO INC;Own
End;full;company incorporated;CO INC;Own
End;abbr;Incorporated Com;CO INC;OWN
End;abbr;company jsc;CO JSC;OWN
End;abbr;company kg;CO KG;OWN
End;abbr;company ksc;CO KSC;OWN
End;abbr;company kscp;CO KSCP;OWN
End;abbr;co llc;CO LLC;OWN
End;abbr;company llc;CO LLC;OWN
End;abbr;company limited partnership;CO LP;OWN
End;abbr;company lp;CO LP;OWN
End;abbr;co ltd;CO LTD;OWN
End;full;company limited;CO LTD;OWN
End;abbr;company ltd;CO LTD;OWN
End;abbr;company ltd incorporated;CO LTD INC;OWN
End;abbr;company ltd saog;CO LTD SAOG;OWN
End;abbr;co mit beschrankter haftung;CO MBH;OWN
End;abbr;mbh;CO MBH;OWN
End;abbr;mbh co kg;CO MBH KG;OWN
End;abbr;company ord;CO ORD;OWN
End;abbr;company pjsc;CO PJSC;OWN
End;abbr;company plc;CO PLC;OWN
End;abbr;Company PSC;CO PSC;OWN
End;abbr;company sa;CO SA;OWN
End;abbr;SA COMP;CO SA;OWN
End;abbr;CO SAE;CO SAE;Own
End;abbr;company sae;CO SAE;OWN
End;abbr;company sakp;CO SAKP;OWN
End;abbr;company sal;CO SAL;OWN
End;abbr;company saoc;CO SAOC;OWN
End;abbr;company saog;CO SAOG;OWN
End;abbr;company sarl;CO SARL;OWN
End;abbr;company sas;CO SAS;OWN
End;abbr;company sca;CO SCA;OWN
End;abbr;company se;CO SE;OWN
End;abbr;Company SJSC;CO SJSC;OWN
End;abbr;company spa;CO SPA;OWN
End;abbr;company tbk;CO TBK;OWN
End;abbr;co wll;CO WLL;OWN
End;full;company with limited liabilities;CO WLL;OWN
End;full;with limited liability;CO WLL;OWN
End;abbr;wll;CO WLL;OWN
End;abbr;coman;COMAN;ECB
End;full;sociedades em comandita;COMAN;ECB
End;full;autorité de la communauté germanophone;COMGERMA;ECB
End;abbr;comgerma;COMGERMA;ECB
End;full;autorité de la communauté française;COMMFRAN;ECB
End;abbr;commfran;COMMFRAN;ECB
End;abbr;communes;COMMUNES;ECB
End;full;ville;COMMUNES;ECB
End;abbr;commv;COMMV;ECB
End;full;gewone commanditaire vennootschap;COMMV;ECB
End;full;commanditaire vennootschap op aandelen;COMMVA;ECB
End;abbr;commva;COMMVA;ECB
End;abbr;coop;COOP;ECB
End;full;cooperativa;COOP;ECB
End;full;cooperatives;COOP;ECB
End;full;societa' cooperativa;COOP;ECB
End;abbr;corp;CORP;OWN
End;full;corporation;CORP;OWN
End;abbr;Corporation (PUBL);CORP (PUBL);OWN
End;abbr;Corporation AG;CORP AG;OWN
End;abbr;Corporation ASA;CORP ASA;OWN
End;abbr;Corporation BHD;CORP BHD;OWN
End;abbr;Corporation Ltd;CORP LTD;OWN
End;abbr;Corporation NL;CORP NL;OWN
End;abbr;Corporation NV;CORP NV;OWN
End;abbr;Corporation PLC;CORP PLC;OWN
End;abbr;Corporation SA;CORP SA;OWN
End;full;centre public d'action sociale;CPAS;ECB
End;abbr;cpas;CPAS;ECB
End;full;bendras valdymo ir pranešimų centras;CRC;ECB
End;abbr;crc;CRC;ECB
End;full;coopérative d'utilisation de matériel agricole en commun;CUMA;ECB
End;abbr;cuma;CUMA;ECB
End;full;commanditaire vennootschap op aandelen met een sociaal oogmerk;CVA SO;ECB
