acronym;term;origin
coe;cost of equity;termlist
cogas;cost of goods available for sale;termlist
cogm;cost of goods manufactured;termlist
cogs;cost of goods sold;termlist
copq;cost of poor quality;termlist
pqc;cost of poor quality;termlist
cos;cost of sales;termlist
cos;cost of services;termlist
cpt;cost per thousand;termlist
cpff;cost plus fixed fee;termlist
c.i.f.;cost, insurance and freight;termlist
cif;cost, insurance and freight;termlist
cea;cost-effectiveness analysis;termlist
cola;cost-of-living adjustment;termlist
cvp;cost-volume-profit;termlist
cvpa;cost-volume-profit analysis;termlist
caps;court audit policies and standards;termlist
cr;credit;termlist
ctds;cumulative translation differences;termlist
cca;current cost accounting;termlist
cl;current liabilities;termlist
cpltd;current portion of long-term debt;termlist
cpp;current purchasing power;termlist
clv;customer life-time value;termlist
dbms;Data Base Management System;termlist
dtd;dated, day-to-day;termlist
dio;days inventory outstanding;termlist
doh;days on hand;termlist
dpo;days payable outstanding;termlist
dso;days sales outstanding;termlist
dr;debit;termlist
dcr;debt coverage ratio;termlist
dss;decision support system;termlist
dcaa;defense contract audit agency;termlist
dac;deferred acquisition costs;termlist
dta;deferred tax assets;termlist
dtc;deferred tax credits;termlist
db;defined benefit;termlist
dit;depreciation, interest and taxes;termlist
dr;detection risk;termlist
dgdr;dgdr;termlist
mpv;direct material price variance;termlist
dmp;direct material productivity;termlist
dpp;direct participation program;termlist
dst;direct substantive testing;termlist
dda;disability discrimination act;termlist
dcf;discounted cash flow;termlist
dcfror;discounted cash flow rate of return;termlist
dps;dividends per share;termlist
dba;doing business as;termlist
dus;dollar unit sampling;termlist
disc;domestic international sales corporation;termlist
daf;donor advised funds;termlist
ddb;double-declining-balance depreciation method;termlist
djia;Dow Jones Industrial Average;termlist
dun;dunning letter;termlist
dca;durable competitive advantage;termlist
et;earliest time;termlist
eitc;earned income tax credit;termlist
e&p;earnings and profits;termlist
ebit;earnings before interest & taxes;termlist
ebiat;earnings before interest after taxes;termlist
ebida;earnings before interest, depreciation and amortization;termlist
ebitdar;earnings before interest, taxes, depreciation, amortization and restructuring or rent costs;termlist
ebitdarm;earnings before interest, taxes, depreciation, amortization, rent and management fees;termlist
ebitda;earnings before interest, taxes, depreciation, and amortization;termlist
ebt;earnings before taxes;termlist
efo;earnings from operations;termlist
eps;earnings per share;termlist
eaf;economic accounts for forestry;termlist
emu;economic and monetary union;termlist
eoq;economic order quantity;termlist
ev;economic value;termlist
eva;economic value added;termlist
emh;efficient market hypothesis;termlist
ebp;electronic bill presentment;termlist
edgar;electronic data gathering, analysis, and retrieval;termlist
edi;electronic data interchange;termlist
edp;electronic data processing;termlist
efts;electronic fund transfer system;termlist
eft;electronic funds transfer;termlist
hdat;electronic secondary securities market ;termlist
eks;elteto-kaves-szulc;termlist
eitf;emerging issues task force;termlist
esop;employee stock ownership plan;termlist
eom;end of month;termlist
eoy;end of year;termlist
eol;end-of-life;termlist
ea;enrolled agent;termlist
erp;enterprise resource planning;termlist
erm;enterprise risk management;termlist
eoz;environmental opportunity zone or economic opportunity zone;termlist
eeo;equal employment office;termlist
eeo;equal employment opportunity;termlist
emi;equal monthly installments;termlist
ecm;equity capital markets;termlist
epu;equivalent unit of production;termlist
e&o;errors and omissions;termlist
e&oe;errors and omissions excepted;termlist
ef&l;errors, fines and losses;termlist
euribor;Euro Interbank Offered Rate;termlist
emea;Europe, the Middle East and Africa;termlist
ec;european community;termlist
eciia;european confederation of institutes of internal auditing;termlist
ecu;european currency unit;termlist
eec;european economic community;termlist
efaa;european federation of accountants and auditors;termlist
efrag;european financial reporting advisory group;termlist
egaob;european group of auditors' oversight bodies;termlist
sela;european local accounts system;termlist
ems;european monetary system;termlist
eurosai;european organisation of supreme audit institutions;termlist
epsas;european public sector accounting standards;termlist
escb;European System of Central Banks;termlist
eu;european union;termlist
etf;Exchange Traded Fund;termlist
ecf;expected cash flow model;termlist
ecl;expected credit loss;termlist
ecls;expected credit losses;termlist
emc;export management company;termlist
etc;export trading company;termlist
ed;exposure draft;termlist
xr;ex-rights;termlist
uel;extended error rate;termlist
xbrl;extensible business reporting language;termlist
ei&do;extraordinary items and discontinued operations;termlist
xw;ex-warrent;termlist
f&a;fabrication & assembly;termlist
f&a;facilities and administrative costs;termlist
fmv;fair market value;termlist
fva;fair value accounting;termlist
fvpl;fair value through profit and loss;termlist
fv-ni;fair value-net income;termlist
fmla;family and medical leave act;termlist
fadn;Farm Accountancy Data Network;termlist
fdic;federal deposit insurance corporation;termlist
ffelp;federal family education loan program;termlist
fhlb;federal home loan bank;termlist
fhlmc;federal home loan mortgage corporation;termlist
fha;federal housing administration;termlist
fit;federal income tax;termlist
fica;federal insurance contribution act;termlist
fnma;federal national mortgage association;termlist
fomc;federal open market committee;termlist
frs;federal reserve system;termlist
